feature,importance
sea_salt_aerosol_5_20_mixing_ratio_roll12_max,0.0006332778
formaldehyde_roll12_mean,0.00063028757
sea_salt_aerosol_05_5_mixing_ratio_roll12_min,0.0006294345
temperature_roll6_min,0.0006289753
dust_aerosol_09_20_mixing_ratio_roll3_std,0.0006189955
dust_aerosol_003_055_mixing_ratio_roll6_min,0.0006188146
sea_salt_aerosol_003_05_mixing_ratio_ewm6,0.0006185744
specific_humidity_roll12_std,0.0006172146
dust_aerosol_055_09_mixing_ratio_roll12_std,0.0006169896
total_parking_minutes metar_relative_humidity,0.0006129322
hydrophilic_black_carbon_aerosol_mixing_ratio_ewm12,0.00061169994
organic_nitrates_ewm3,0.00060906843
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_std,0.00060888
dust_aerosol_003_055_mixing_ratio_roll6_mean,0.0005990502
hydrophobic_black_carbon_aerosol_mixing_ratio_roll12_std,0.0005985288
metar_wind_speed_kn_ewm12,0.00059713976
nitrogen_dioxide_mass_mixing_ratio_ewm3,0.0005941219
ozone_mass_mixing_ratio_roll6_max,0.00059395115
total_parking_minutes_roll12_skew,0.0005913837
sea_salt_aerosol_05_5_mixing_ratio_ewm3,0.00059129804
total_parking_minutes_roll2_min,0.0005826521
isoprene,0.00058145565
ethane_roll12_std,0.00058081653
hydrophobic_organic_matter_aerosol_mixing_ratio_roll6_std,0.0005802808
nitrogen_monoxide_mass_mixing_ratio_roll12_std,0.00057922205
ethane_diff3,0.0005783662
specific_humidity_roll12_min,0.00057685724
dust_aerosol_003_055_mixing_ratio_roll12_min,0.00057632086
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_std,0.0005750269
nitrogen_dioxide_mass_mixing_ratio_cumsum,0.0005721062
oh_ewm6,0.0005719608
nitrogen_monoxide_mass_mixing_ratio_roll6_min,0.0005717524
h2o2_roll6_min,0.00057142216
total_parking_minutes_roll12_mean,0.0005637063
sea_salt_aerosol_5_20_mixing_ratio_roll2_std,0.0005628086
isoprene_roll24_std,0.000561869
metar_hour_precipitation_roll24_min,0.00055974105
c3h8_roll6_max,0.0005548895
dust_aerosol_055_09_mixing_ratio_lag6,0.0005546255
ozone_mass_mixing_ratio_roll3_max,0.0005525579
metar_temperature_c_roll12_kurt,0.00055157905
hydrophobic_organic_matter_aerosol_mixing_ratio_ewm12,0.0005495872
sulphate_aerosol_mixing_ratio_cumsum,0.0005464025
metar_temperature_c_roll12_min,0.0005420757
organic_nitrates_ewm6,0.0005420414
nitrogen_monoxide_mass_mixing_ratio_ewm12,0.00053752563
temperature_pct_change3,0.0005367256
sulphur_dioxide_mass_mixing_ratio_roll2_mean,0.0005334166
hydrophobic_organic_matter_aerosol_mixing_ratio,0.00053300295
hno3_roll6_min,0.0005317068
nitrogen_dioxide_mass_mixing_ratio_pct_change1,0.0005277431
hydrophilic_organic_matter_aerosol_mixing_ratio_roll24_std,0.0005215293
oh_roll12_mean,0.0005205262
sea_salt_aerosol_5_20_mixing_ratio_roll2_max,0.0005201023
formaldehyde_roll24_mean,0.0005199396
formaldehyde_roll12_std,0.0005171987
sea_salt_aerosol_5_20_mixing_ratio_lag2,0.0005167421
dust_aerosol_09_20_mixing_ratio_roll12_max,0.0005138337
nitrogen_monoxide_mass_mixing_ratio_roll12_mean,0.000510584
carbon_monoxide_mass_mixing_ratio_roll12_max,0.00050813326
metar_wind_speed_kn_roll12_mean,0.00050424715
total_parking_minutes_roll3_std,0.00050408876
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_std,0.0004992277
metar_temperature_c_lag6,0.00049813633
hydrophilic_black_carbon_aerosol_mixing_ratio_roll6_min,0.0004973019
ethane_pct_change6,0.0004932122
metar_wind_speed_kn_roll3_min,0.0004925724
temperature_roll12_min,0.000489725
hydrophilic_organic_matter_aerosol_mixing_ratio_ewm3,0.0004882739
metar_visibility_mi_roll2_max,0.00048658246
sea_salt_aerosol_05_5_mixing_ratio_ewm12,0.00048465957
nitrogen_dioxide_mass_mixing_ratio_roll6_std,0.000482406
hydrophilic_black_carbon_aerosol_mixing_ratio_ewm3,0.00048235964
hydrophilic_organic_matter_aerosol_mixing_ratio_roll12_mean,0.00048235196
sulphur_dioxide_mass_mixing_ratio_ewm3,0.00047836298
total_parking_minutes_roll3_max,0.00047756435
h2o2_roll3_min,0.00047671783
sulphur_dioxide_mass_mixing_ratio_roll3_max,0.00047441214
nitrogen_dioxide_mass_mixing_ratio_roll12_mean,0.00047410434
specific_humidity_diff12,0.00047274004
dust_aerosol_055_09_mixing_ratio_roll24_std,0.00047124113
h2o2_lag3,0.00046810225
sulphur_dioxide_mass_mixing_ratio_roll12_max,0.00046780283
metar_wind_speed_kn_roll12_std,0.00046692864
hno3_roll12_std,0.00046364384
